ID_BARANG	ID_KATEGORI	NAMA_BARANG	DESKRIPSI	SATUAN	STATUS	CREATED_BY	CREATED_DATE	UPDATED_BY	UPDATED_DATE
BRG-202411-01.001	KAT-202411-002	"INORGANIC MIXTURE,KIESERBOR 23-5,KG"		KG	1	husniaditya	2024-11-23 16:15	\N	\N
BRG-202411-01.002	KAT-202411-002	"INORGANIC MIXTURE,NK2,KG (NK 8.4/36-40% SOA, 60% MOP)"		KG	1	husniaditya	2024-11-23 16:15	\N	\N
BRG-202411-03.003	KAT-202411-002	"INORGANIC STRAIGHT,UREA,KG"		KG	1	husniaditya	2024-11-23 16:15	\N	\N
	KAT-202411-002	"INORGANIC STRAIGHT,BORATE,KG"		KG					
	KAT-202411-002	"INORGANIC STRAIGHT,MOP,KG"		KG					
	KAT-202411-002	"INORGANIC STRAIGHT,ROCK PHOSPHATE,KG"		KG					
	KAT-202411-002	"INORGANIC STRAIGHT,KIESERITE,KG"		KG					
	KAT-202411-002	"INORGANIC COMPOUND,NPK,KG (10/6/24/5+0.96B)"		KG					
	KAT-202411-002	"INORGANIC COMPOUND,NPK,KG (12/12/17/2+TE)"		KG					
	KAT-202411-003	"HAND GLOVE,COTTON,PAA"		PAA					
		"HAND GLOVE,COTTON SEMI COATED RUBBER,PAA"		PAA					
		"HYDRAULIC,HOOKLIFT,6-8T,PC"		PC					
		"SPIKE,LOADING,25 MM,102 CM,CAST IRON,PC"		PC					
		"OPP TAPE,48 MM,45 MICRON,100 M,BLACK,RLL"		RLL					
		"PIPE,LINE,1"",CLASSA,GALVANIZEDSTEEL,ME"		PC					
		"INORGANIC STRAIGHT,DOLOMITE,KG"		KG					
		"PROTECTION CLOTH,APRON,PVC,PC"		PC					
		"COVER,PC"		PC					
		"COVER,COVER,PC"		PC					
		"BOWL,MILAMINE,520 ML,PC"		PC					
		"HERBICIDE,IPA GLIFOSAT 480 G/L,L"		L					
		"BEARING,BALL,12MM,PC"		PC					
		"POLE,ALUMINIUM 1.25"" X 4M"		PC					
		"PROCESSED MILK,SWEETENED CONDENSED MILK"		CAN					
		"CULVERT, TYPE:PIPE, SIZE:300 X 1000 MM,"		PC					
		"BUCKET,BUCKET,PLASTIC,15L,PC"		PC					
		"SUSPENSION,SAFETY HAT,PC"		PC					
		"SAFETY VEST,PC"		PC					
		"STONE,SHARPENING,3000/8000,PC"		PC					
		"APRON,PLASTIC,PC"		PC					
		"BEARING,BALL,10MM,PC"		PC					
		"HAND GLOVE,LEATHER,PAA"		PAA					
		"SAFETY GOGGLE,PC"		PC					
		"SAFETY BOOT,PVC,PAA"		PAA					
		"MASK,SINGLE CARTRIDGE HALF MASK,PC"		PC					
		"SAFETY SHOE,LEATHER,PAA"		PAA					
		"INORGANIC STRAIGHT,FERROUS SULFATE,KG"		KG					
		"SAFETYGOGGLE,PC"		PC					
		"TROLLEY,TROLLEY,200 KG,UN"		UN					
		LIBERO		KG					
		"ORGANIC STRAIGHT,ENDOMIKORIZA ARBUSCULAR"		KG					
		"FUNGICIDE, TRICHODERMA KONINGII, KG"		KG					
		"BIOMASS SLUDGE,ANAEROBIC"		KG					
		SUPER KIESERITE INORGANIC STRAIGHT		KG					
		"INORGANIC STRAIGHT,DOLOMITE,KG"		KG					
		"INORGANIC STRAIGHT, CALCIPRILL"		KG					
		"INORGANIC STRAIGHT,BORAT"		KG					
		STARSIL		KG					
		SUPER BAJA		KG					
		"LIQUID, TRADE NAME:KENFOLAN, COMPOSITION:N11%,P8%, K6%"		L					
		"HAND GLOVE,NITRILE,BOX"		BOX					
		"STONE,SHARPENING,3000/6000,PC"		PC					
		"TUBE,TIRE,300-8,PC"		PC					
		"SICKLE,HARVESTING,20 MM,1.5"",700 MM,PC"		PC					
		"SPRAYER,AGRICULTURAL,KNAPSACK,POLYPROPYL"		PC					
		"CHISEL,HARVESTING,3"",320XL.80MM,IRON"		PC					
		"TOOL,CHOPPINGKNIFE,PC"		PC					
		"CLAMP,CLAMP, TYPE:HARVESTING, SIZE/CAPACITY:1-1/4 TO 1-1/2, MATERIAL: CHROME STEEL"		PC					
		"FACE SHIELD,CLEAR VISOR,PC              "		PC					
		"FACE SHIELD,CLEAR VISOR,PC"		PC					
		"SAFETY HELMET,PC"		PC					
		"INORGANIC MIXTURE,NK3,KG (NK 12.6/24-60% SOA, 40% MOP)"		KG					
		"MASK,ACTIVE CARBON FILTER,PC"		PC					
		"POLE,POLE,PC"		PC					
		"CLEANING PRODUCT,SOAP REFILL,LIQUID,PC"		PC					
		"TUBE,TIRE,3.00-8/13 X 3,PC"		PC					
		"BUCKET,BUCKET,PLASTIC,10L,PC"		PC					
		"CHISEL,C122,9MM,20MM,PC"		PC					
		"COVER,PC"		PC					
		"HOLDER,HOLDER,32MM,NYLON,PC"		PC					
		STONE (BATU ASAH)		KG					
		"FACE SHIELD,CLEAR POLYCARBONATE VISOR,PC"		PC					
		"COVER,COVER, SIZE:9"", MATERIAL:SILICONE, ADDITIONAL DETAILS:FOR CHISEL, NO 9"		PC					
		"SHAFT,SHAFT,PC"		PC					
		"PROTECTION CLOTH,APRON,LDPE,PC"		PC					
		MG HAND GLOVE RUBBER		PAA					
		"TIRE,TIRE,3.00-8(13X3.00),NYLON,3,PC"		PC					
		"SAFETY GOGGLE, FRAME MATERIAL: POLYCARBONATE, NOSE PAD MATERIAL:RUBBER,"		PC					
		"CLAMP,CLAMP,1-1/2"",PC"		PC					
		"BUILDING MATERIALS,CEMENT,KG"		KG					
		"AXE,AXE,5,50 CM,IRON,PC"		PC					
		"GLOVES,CHEMICAL RESISTANT,14,PAA"		PAA					
		"SLING,WIRE ROPE,14 MM,70 M,1770 NM,STEEL"		PC					
		"POLE,POLE,PC"		PC					
		"INORGANIC STRAIGHT,DIAMMONIUM PHOSPHATE"		KG					
		"SLING,WIREROPE,18MM,N/A,24TON,HTS,M"		M					
		"HOE,HOE,170X230MM,STEEL,1300MM,WOOD"		SET					
		"SAFETYSHOE,LEATHER,PAA"		PAA					
		"HAND GLOVE,COTTON,PAA"		PAA					
		"SAFETY HELMET,PC"		PC					
		"TROLLEY,TROLLEY, CAPACITY:150 KG, BRAND: JAGO"		PC					
		"CARTRIDGE RESPIRATOR,CHEMICAL FILTER,PC"		PC					
		"COVER,PC"		PC					
		"INORGANIC MIXTURE,ZNCOBO, CHELATED,KG"		KG					
		"INORGANIC MIXTURE,ZINC COPPER,KG"		KG					
		"HAND GLOVE,LEATHER,PAA"		PAA					
		"TUBE,TIRE,750 X 16,PC"		PC					
		"HOE,100 X 150 MM,STEEL,1000 MM,WOOD,PC  "		PC					
		"GASOLINE,PERTALITE,90,L"		L					
		"TUBE,TIRE,3.00-8(13X3.00),PC"		PC					
		"SAFETYSHOE,LEATHER,PAA"		PAA					
		"GASKET,GASKET,ID7.68XOD7.70XTHK0.01M"		PC					
		BEARING TROLLEY ARTCO (488991) TROLLEY REGULAR 1		PC					
		"SPRAYER,AGRICULTURAL,MANUAL,PLASTIC,15 L"		UN					
